chargedeviceid,name,latitude,longitude,town,chargedevicestatus,locationtype,datecreated,dateupdated,connectorcount
bc24d2f78cc508b3bf9156f59a4ff060,UIST & BARRA HOSPITAL,57.471319,-7.371615,BALIVANICH,IN SERVICE,WORKPLACE CAR PARK,2017-10-05T14:04:39Z,2020-01-18T09:43:09Z,2
41777ab654258ff71d2ed4e51a13d3f4,SOUTH BEACH HEALTH BOARD OFFICE,58.221088,-6.384411,STORNOWAY,IN SERVICE,WORKPLACE CAR PARK,2017-10-06T07:57:11Z,2020-01-18T09:43:24Z,2
9cc9632c123c563929a45066cda7b44a,STORNOWAY WESTERN ISLES HOSPITAL,58.221088,-6.384411,STORNOWAY,IN SERVICE,WORKPLACE CAR PARK,2017-10-06T08:02:32Z,2020-01-18T09:43:45Z,2
3bcf7928cc38ccb59afc5c87ff167157,TEVIOTDALE LEISURE CENTRE,55.423746,-2.791819,HAWICK,IN SERVICE,PUBLIC CAR PARK,2017-10-06T08:23:33Z,2020-01-18T09:44:09Z,3
1aab3ecb451c42e3c3c94ea13da56031,NEWHOUSE CAR PARK M8 JUNCTION 6,55.829916,-3.936151,NEWHOUSE,IN SERVICE,PUBLIC CAR PARK,2017-10-06T08:29:24Z,2020-01-18T09:44:28Z,1
94106d15d8b886cc439a60cac1e619c9,BURN LANE SHOPPING CENTRE,57.284847,-2.376448,INVERURIE,IN SERVICE,PUBLIC CAR PARK,2017-10-06T08:37:08Z,2020-01-18T09:45:06Z,2
6600d6daa76b4d561eec127d32de6eab,BURN LANE SHOPPING CENTRE,57.284847,-2.376448,INVERURIE,IN SERVICE,PUBLIC CAR PARK,2017-10-06T08:47:49Z,2020-01-18T09:58:18Z,3
cb445e7487bb6fe51ea79003522c0793,SHERIFFHALL PARK AND RIDE,55.901211,-3.095113,DALKEITH,IN SERVICE,PUBLIC CAR PARK,2017-10-06T08:52:19Z,2020-01-18T09:58:56Z,3
4a176dc4d5182a4c465e1a043aaa0a10,CROY PARK & RIDE,55.959353,-4.04293,CROY PARK AND RIDE,IN SERVICE,PUBLIC CAR PARK,2017-10-06T09:06:51Z,2020-01-18T10:09:03Z,2
081b26a8bdc5222518e51ecdbcc2021c,DIMENSION SHOPFITTING,55.843554,-4.477321,PAISLEY,IN SERVICE,WORKPLACE CAR PARK,2017-10-06T09:13:34Z,2020-01-18T10:09:42Z,2
5c4ebfff6c6b8b91dc2a11a56db0b9dd,KELVINGROVE ART GALLERIES AND MUSEUM,55.868412,-4.290545,GLASGOW,IN SERVICE,PUBLIC CAR PARK,2017-10-06T09:52:06Z,2020-01-18T10:10:15Z,2
6b62583978106bff7ad1ab4fabd10d19,EUREKA SOLUTIONS,55.767323,-4.223839,EAST KILBRIDE,IN SERVICE,WORKPLACE CAR PARK,2017-10-06T09:58:55Z,2020-01-18T10:10:37Z,2
88b17a6a40a58249f65f2ab23faac990,RQC - LONDON AND SCOTTISH INVESTMENTS - 1,55.767323,-4.223839,EAST KILBRIDE,IN SERVICE,WORKPLACE CAR PARK,2017-10-06T10:09:07Z,2020-01-18T10:11:06Z,2
3e6ac9543b125076b4e570520180fd36,RQC - LONDON AND SCOTTISH INVESTMENTS - 2,55.767323,-4.223839,EAST KILBRIDE,IN SERVICE,WORKPLACE CAR PARK,2017-10-06T10:11:38Z,2020-01-18T10:11:19Z,2
3426ba7d0407b8b47f5050c3cb5c4302,CROY PARK AND RIDE,55.959353,-4.04293,CROY,IN SERVICE,PUBLIC CAR PARK,2017-10-06T10:22:41Z,2020-01-18T10:11:36Z,2
af756aac925876d8d15666b62e6fdb32,TWEEDDALE STREET CAR PARK,56.413794,-5.471164,OBAN,IN SERVICE,PUBLIC CAR PARK,2017-10-06T12:51:41Z,2019-11-07T21:17:42Z,3
6fb6646fd754ad4b8a6f0a88f7801f9a,TWEEDALE STREET CAR PARK,56.413794,-5.471164,OBAN,IN SERVICE,PUBLIC CAR PARK,2017-10-06T13:15:47Z,2020-01-18T10:12:04Z,2
50511ad8caa349f10d2b017d5320f74d,ROYAL VICTORIA HOSPITAL,56.46319,-3.013522,DUNDEE,IN SERVICE,PUBLIC CAR PARK,2017-10-09T06:25:15Z,2020-01-18T10:12:36Z,2
eac025373fd8841b8ec327042efd2b60,CRAIGNURE CAR PARK,56.437577,-5.798899,CRAIGNURE ISLE OF MULL,IN SERVICE,PUBLIC CAR PARK,2017-10-09T06:32:23Z,2020-01-18T10:12:56Z,3
c539d28979d6f12c76aa3c6f96315290,BLAIR DRUMMOND SAFARI AND ADVENTURE PARK,56.162973,-4.035966,BLAIR DRUMMOND,IN SERVICE,WORKPLACE CAR PARK,2017-10-09T06:36:15Z,2020-01-18T10:11:50Z,2
b02db25001515db8d0fc38ed9df222cd,HAMPDEN PARK & RIDE,55.825234,-4.253199,GLASGOW,IN SERVICE,PUBLIC CAR PARK,2017-10-09T06:44:57Z,2020-01-18T10:13:40Z,3
71b6753f70fff74032b3897815e8f9fc,HAMPDEN PARK AND RIDE,55.825234,-4.253199,GLASGOW,IN SERVICE,PUBLIC CAR PARK,2017-10-09T06:47:10Z,2020-01-18T10:14:11Z,2
53401e69b53e492be14d7a532c521e3c,CRANWORTH ST. CAR CLUB,55.86549,-4.268828,GLASGOW,IN SERVICE,PUBLIC CAR PARK,2017-10-09T06:51:42Z,2020-01-18T10:14:32Z,2
32a7f7d0a6b6c49d50cb0ccaa0c78033,PEEL ST CAR CLUB,55.873701,-4.311015,GLASGOW,IN SERVICE,PUBLIC CAR PARK,2017-10-09T06:56:30Z,2020-01-18T10:14:48Z,2
f48e34aa13c1a7541137b938020b8a65,COCHRANE ST. CAR CLUB,55.860313,-4.248247,GLASGOW,IN SERVICE,PUBLIC CAR PARK,2017-10-09T07:01:01Z,2020-01-18T10:15:08Z,2
07ebd676d9d8a26dcf496cc2fde423fd,LOCH FYNE OYSTERS,56.269597,-4.933294,CLACHAN CAIRNDOW,IN SERVICE,WORKPLACE CAR PARK,2017-10-09T07:05:18Z,2020-01-18T10:15:27Z,2
efb1a00af0eb90f71cb142729b47dcb5,ULAPOOL FERRY TERMINAL,57.895328,-5.160003,ULLAPOOL,IN SERVICE,WORKPLACE CAR PARK,2017-10-09T07:09:11Z,2020-01-18T10:15:50Z,3
5f8e33133f4873736c7f496ce18b4c34,NEWHOUSE CAR PARK M8 JUNCTION 6,55.829916,-3.936151,NEWHOUSE,IN SERVICE,PUBLIC CAR PARK,2017-10-09T07:12:50Z,2020-01-18T10:16:09Z,3
9f0739b33863ac5d391d3cba9dd26650,AYRSHIRE ATHLETICS ARENA,55.601439,-4.487591,KILMARNOCK,IN SERVICE,PUBLIC CAR PARK,2017-10-09T07:15:42Z,2020-01-18T10:16:28Z,2
5d3d1a17bfceed6d6fbd9cd2bf5c619e,HALBEATH PARK AND RIDE,55.969959,-3.185369,HALBEATH DUNFERMLINE,IN SERVICE,PUBLIC CAR PARK,2017-10-09T07:38:53Z,2020-01-18T10:16:45Z,2
9ebde44a65996dc111f33043713c529c,DUNFERMLINE HIGH SCHOOL,56.062342,-3.450735,DUNFERMLINE,IN SERVICE,PUBLIC CAR PARK,2017-10-09T07:40:36Z,2020-01-18T10:17:02Z,2
